series_reference,period,data_value,status,units,magntude,subject,group,series_title_1,series_title_2,series_title_3,series_title_4,series_title_5
HLFQ.S1F3S,1986.03,4.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1986.06,4.1,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1986.09,4.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1986.12,4.3,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1987.03,4.1,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1987.06,4.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1987.09,4.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1987.12,4.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1988.03,5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1988.06,5.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1988.09,6.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1988.12,6.3,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1989.03,7.1,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1989.06,7.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1989.09,7.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1989.12,7.3,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1990.03,7.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1990.06,7.7,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1990.09,8.1,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1990.12,8.9,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1991.03,9.8,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1991.06,10.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1991.09,11.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1991.12,11,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1992.03,11,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1992.06,10.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1992.09,10.6,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1992.12,10.6,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1993.03,10.1,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1993.06,10.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1993.09,9.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1993.12,9.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1994.03,9.3,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1994.06,8.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1994.09,8,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1994.12,7.6,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1995.03,6.8,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1995.06,6.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1995.09,6.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1995.12,6.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1996.03,6.4,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1996.06,6.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1996.09,6.5,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1996.12,6.2,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1997.03,6.7,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1997.06,6.8,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
HLFQ.S1F3S,1997.09,7,REVISED,Percent,0,Household Labour Force Survey - HLF,Labour Force Status by Sex: Seasonally Adjusted,Unemployment Rate,Total Both Sexes,NA,NA,NA
